;id_strony;tytul;typ_wydarzenia_lista;link_do_obrazka_lista;sciezka_do_pobranego_obrazka;obiekty;ulice;miasta;data_rozpoczecia;data_zakonczenia;godzina_rozpoczecia;czy_stale;hashtagi
2809;56168;Mały Książę (Teatr Ludowy);Spektakle teatralne;http://media.krakow.travel/photos/69507/m.jpg;obrazy_wydarzen_karnet/56168.jpg;Teatralny Instytut Młodych;os. Teatralne 23;Kraków;2025-06-12;;10:00;;#spektakle #teatralne
2590;58837;Piękni, młodzi, trzydziestoletni;Kabaret;http://media.krakow.travel/photos/72257/m.jpg;obrazy_wydarzen_karnet/58837.jpg;Krakowskie Forum Kultury;ul. Mikołajska 2;Kraków;2025-06-12;;20:00;;#kabaret
2718;58331;Cabaret Show;Kabaret;http://media.krakow.travel/photos/71753/m.jpg;obrazy_wydarzen_karnet/58331.jpg;Teatr Cabaret w Krakowie;Krakowska 5;Kraków;2025-06-12;;20:00;;#kabaret
3102;55885;W krainie Króla Lwa | Spektakl 4+;Spektakle teatralne;http://media.krakow.travel/photos/69182/m.jpg;obrazy_wydarzen_karnet/55885.jpg;Teatr Współczesny;ul. Starowiślna 21;Kraków;2025-06-13;;09:00;;#spektakle #teatralne
3957;56060;Gwałtu, co się dzieje;Spektakle teatralne;http://media.krakow.travel/photos/70699/m.jpg;obrazy_wydarzen_karnet/56060.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-13;;18:00;;#spektakle #teatralne
2798;53788;Agata Ślazyk: Święto powinno trwać cały tydzień;Muzyka rozrywkowa;http://media.krakow.travel/photos/66729/m.jpg;obrazy_wydarzen_karnet/53788.jpg;Piwnica pod Baranami;Rynek Główny 27;Kraków;2025-06-13;;20:00;;#muzyka #rozrywkowa
2763;55141;Pignon i Urząd Skarbowy;Spektakle teatralne;http://media.krakow.travel/photos/69754/m.jpg;obrazy_wydarzen_karnet/55141.jpg;Teatr Ludowy;os. Teatralne 34;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
1904;56849;Australia;Spektakle teatralne;http://media.krakow.travel/photos/70239/m.jpg;obrazy_wydarzen_karnet/56849.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
293;56849;Australia;Spektakle teatralne;http://media.krakow.travel/photos/70239/m.jpg;obrazy_wydarzen_karnet/56849.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3547;56060;Gwałtu, co się dzieje;Spektakle teatralne;http://media.krakow.travel/photos/70699/m.jpg;obrazy_wydarzen_karnet/56060.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-13;;18:00;;#spektakle #teatralne
1814;38410;Boska;Spektakle teatralne;http://media.krakow.travel/photos/48120/m.jpg;obrazy_wydarzen_karnet/38410.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
1410;57312;Pojebajka;Spektakle teatralne;http://media.krakow.travel/photos/70749/m.jpg;obrazy_wydarzen_karnet/57312.jpg;Teatr Współczesny;ul. Starowiślna 21;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
1784;55141;Pignon i Urząd Skarbowy;Spektakle teatralne;http://media.krakow.travel/photos/69754/m.jpg;obrazy_wydarzen_karnet/55141.jpg;Teatr Ludowy;os. Teatralne 34;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
1500;56849;Australia;Spektakle teatralne;http://media.krakow.travel/photos/70239/m.jpg;obrazy_wydarzen_karnet/56849.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
1522;38410;Boska;Spektakle teatralne;http://media.krakow.travel/photos/48120/m.jpg;obrazy_wydarzen_karnet/38410.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
1743;56060;Gwałtu, co się dzieje;Spektakle teatralne;http://media.krakow.travel/photos/70699/m.jpg;obrazy_wydarzen_karnet/56060.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-13;;18:00;;#spektakle #teatralne
1556;55141;Pignon i Urząd Skarbowy;Spektakle teatralne;http://media.krakow.travel/photos/69754/m.jpg;obrazy_wydarzen_karnet/55141.jpg;Teatr Ludowy;os. Teatralne 34;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
625;56849;Australia;Spektakle teatralne;http://media.krakow.travel/photos/70239/m.jpg;obrazy_wydarzen_karnet/56849.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
2541;55885;W krainie Króla Lwa | Spektakl 4+;Spektakle teatralne;http://media.krakow.travel/photos/69182/m.jpg;obrazy_wydarzen_karnet/55885.jpg;Teatr Współczesny;ul. Starowiślna 21;Kraków;2025-06-13;;09:00;;#spektakle #teatralne
3103;51355;Magnetyzm serc;Spektakle teatralne;http://media.krakow.travel/photos/64068/m.jpg;obrazy_wydarzen_karnet/51355.jpg;Narodowy Stary Teatr im. Heleny Modrzejewskiej;ul. Jagiellońska 1;Kraków;2025-06-13;;12:00;;#spektakle #teatralne
3105;59781;Senioralia Gminy Zabierzów;W gminach Metropolii;http://media.krakow.travel/photos/73291/m.jpg;obrazy_wydarzen_karnet/59781.jpg;Rynek w Zabierzowie;;Kraków;2025-06-13;;14:00;;#WGminach #Metropolii
3119;59735;Cycle of Culture w RE;Muzyka rozrywkowa;http://media.krakow.travel/photos/73226/m.jpg;obrazy_wydarzen_karnet/59735.jpg;Klub RE;ul. św. Krzyża 4;Kraków;2025-06-13;;20:00;;#muzyka #rozrywkowa
3118;53788;Agata Ślazyk: Święto powinno trwać cały tydzień;Muzyka rozrywkowa;http://media.krakow.travel/photos/66729/m.jpg;obrazy_wydarzen_karnet/53788.jpg;Piwnica pod Baranami;Rynek Główny 27;Kraków;2025-06-13;;20:00;;#muzyka #rozrywkowa
3117;59798;Filharmonia Krakowska: Alexandre Da Costa;Muzyka klasyczna;http://media.krakow.travel/photos/73306/m.jpg;obrazy_wydarzen_karnet/59798.jpg;Filharmonia Krakowska;ul. Zwierzyniecka 1;Kraków;2025-06-13;;19:30;;#muzyka #klasyczna
3116;59035;Warfield: Deathrock Devotionals w Gwarku;Muzyka rozrywkowa;http://media.krakow.travel/photos/72480/m.jpg;obrazy_wydarzen_karnet/59035.jpg;Gwarek;ul. Reymonta 17;Kraków;2025-06-13;;19:30;;#muzyka #rozrywkowa
3115;58456;Gloryhammer, Moonlight Haze w Hype Parku;Muzyka rozrywkowa;http://media.krakow.travel/photos/71868/m.jpg;obrazy_wydarzen_karnet/58456.jpg;Hype Park / Kamienna12;ul. Kamienna 12;Kraków;2025-06-13;;19:30;;#muzyka #rozrywkowa
2465;57312;Pojebajka;Spektakle teatralne;http://media.krakow.travel/photos/70749/m.jpg;obrazy_wydarzen_karnet/57312.jpg;Teatr Współczesny;ul. Starowiślna 21;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3104;59210;Wodecki Twist Festiwal 2025;Festiwale;http://media.krakow.travel/photos/72657/m.jpg;obrazy_wydarzen_karnet/59210.jpg;Centrum Kongresowe ICE Kraków;ul. Konopnickiej 17;Kraków;2025-06-13;2025-06-15;;;#festiwale
3113;59808;Gwiazdy z Sinfoniettą: Simon Höfele;Muzyka klasyczna;http://media.krakow.travel/photos/73314/m.jpg;obrazy_wydarzen_karnet/59808.jpg;Galeria Sztuki Polskiej XIX wieku w Sukiennicach;Rynek Główny 3;Kraków;2025-06-13;;19:00;;#muzyka #klasyczna
2512;38410;Boska;Spektakle teatralne;http://media.krakow.travel/photos/48120/m.jpg;obrazy_wydarzen_karnet/38410.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3114;58289;Coilguns, Why Bother? w Alchemii;Muzyka rozrywkowa;http://media.krakow.travel/photos/71708/m.jpg;obrazy_wydarzen_karnet/58289.jpg;Alchemia;ul. Estery 5;Kraków;2025-06-13;;19:30;;#muzyka #rozrywkowa
3112;59574;Amoria;Spektakle teatralne;http://media.krakow.travel/photos/55829/m.jpg;obrazy_wydarzen_karnet/59574.jpg;Teatr Barakah;ul. Paulińska 28;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3111;57312;Pojebajka;Spektakle teatralne;http://media.krakow.travel/photos/70749/m.jpg;obrazy_wydarzen_karnet/57312.jpg;Teatr Współczesny;ul. Starowiślna 21;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3110;56849;Australia;Spektakle teatralne;http://media.krakow.travel/photos/70239/m.jpg;obrazy_wydarzen_karnet/56849.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3109;55141;Pignon i Urząd Skarbowy;Spektakle teatralne;http://media.krakow.travel/photos/69754/m.jpg;obrazy_wydarzen_karnet/55141.jpg;Teatr Ludowy;os. Teatralne 34;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3108;38410;Boska;Spektakle teatralne;http://media.krakow.travel/photos/48120/m.jpg;obrazy_wydarzen_karnet/38410.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3107;33425;Przekręt (nie)doskonały;Spektakle teatralne;http://media.krakow.travel/photos/40945/m.jpg;obrazy_wydarzen_karnet/33425.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-13;;19:00;;#spektakle #teatralne
3106;56060;Gwałtu, co się dzieje;Spektakle teatralne;http://media.krakow.travel/photos/70699/m.jpg;obrazy_wydarzen_karnet/56060.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-13;;18:00;;#spektakle #teatralne
3124;57960;Pogo;Spektakle teatralne;http://media.krakow.travel/photos/72221/m.jpg;obrazy_wydarzen_karnet/57960.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-06-14;;17:00;;#spektakle #teatralne
3125;59777;Dni Gminy Zabierzów;W gminach Metropolii;http://media.krakow.travel/photos/73286/m.jpg;obrazy_wydarzen_karnet/59777.jpg;Rynek w Zabierzowie;;Kraków;2025-06-14;2025-06-15;17:00;;#WGminach #Metropolii
2580;59663;Czesław Dźwigaj w Krakowie;Wystawy czasowe;http://media.krakow.travel/photos/73151/m.jpg;obrazy_wydarzen_karnet/59663.jpg;Pałac Sztuki;pl. Szczepański 4;Kraków;2025-06-14;;18:00;;#wystawy #czasowe
3126;59814;Rozmowa Andy Rottenberg z Michałem Nogasiem;Wykłady, spacery i warsztaty artystyczne;http://media.krakow.travel/photos/73319/m.jpg;obrazy_wydarzen_karnet/59814.jpg;Bunkier Sztuki;pl. Szczepański 3a;Kraków;2025-06-14;;17:00;;#wykłady #spacery #warsztaty #artystyczne
3120;59361;33 Dni Niepołomic;W gminach Metropolii;http://media.krakow.travel/photos/72813/m.jpg;obrazy_wydarzen_karnet/59361.jpg;Rynek w Niepołomicach;Niepołomice;Kraków;2025-06-14;2025-06-15;;;#WGminach #Metropolii
3123;59379;Podróż poślubna plus, czyli wakacje w promocji;Spektakle teatralne;http://media.krakow.travel/photos/72830/m.jpg;obrazy_wydarzen_karnet/59379.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-14;;16:00;;#spektakle #teatralne
3127;59487;Festiwal Black or White 2025;Muzyka rozrywkowa;http://media.krakow.travel/photos/72979/m.jpg;obrazy_wydarzen_karnet/59487.jpg;Klub Studio;ul. Budryka 4;Kraków;2025-06-14;;18:00;;#muzyka #rozrywkowa
3122;58317;Sonety Szekspira;Spektakle teatralne;http://media.krakow.travel/photos/72219/m.jpg;obrazy_wydarzen_karnet/58317.jpg;Teatr KTO;ul. Zamoyskiego 50;Kraków;2025-06-14;;16:00;;#spektakle #teatralne
3130;57535;Dom weselny;Spektakle teatralne;http://media.krakow.travel/photos/70961/m.jpg;obrazy_wydarzen_karnet/57535.jpg;Krakowski Teatr Scena STU;al. Krasińskiego 16;Kraków;2025-06-14;;19:00;;#spektakle #teatralne
3121;59614;Noc Teatrów;Spektakle teatralne;http://media.krakow.travel/photos/73097/m.jpg;obrazy_wydarzen_karnet/59614.jpg;Rynek Podgórski;;Kraków;2025-06-14;;;;#spektakle #teatralne
2567;58317;Sonety Szekspira;Spektakle teatralne;http://media.krakow.travel/photos/72219/m.jpg;obrazy_wydarzen_karnet/58317.jpg;Teatr KTO;ul. Zamoyskiego 50;Kraków;2025-06-14;;16:00;;#spektakle #teatralne
1158;56612;Bal (Teatr KTO);Spektakle teatralne;http://media.krakow.travel/photos/69993/m.jpg;obrazy_wydarzen_karnet/56612.jpg;Teatr KTO;ul. Zamoyskiego 50;Kraków;2025-06-14;;21:30;;#spektakle #teatralne
1787;58317;Sonety Szekspira;Spektakle teatralne;http://media.krakow.travel/photos/72219/m.jpg;obrazy_wydarzen_karnet/58317.jpg;Teatr KTO;ul. Zamoyskiego 50;Kraków;2025-06-14;;16:00;;#spektakle #teatralne
3128;59663;Czesław Dźwigaj w Krakowie;Wystawy czasowe;http://media.krakow.travel/photos/73151/m.jpg;obrazy_wydarzen_karnet/59663.jpg;Pałac Sztuki;pl. Szczepański 4;Kraków;2025-06-14;;18:00;;#wystawy #czasowe
2083;56612;Bal (Teatr KTO);Spektakle teatralne;http://media.krakow.travel/photos/69993/m.jpg;obrazy_wydarzen_karnet/56612.jpg;Teatr KTO;ul. Zamoyskiego 50;Kraków;2025-06-14;;21:30;;#spektakle #teatralne
887;56612;Bal (Teatr KTO);Spektakle teatralne;http://media.krakow.travel/photos/69993/m.jpg;obrazy_wydarzen_karnet/56612.jpg;Teatr KTO;ul. Zamoyskiego 50;Kraków;2025-06-14;;21:30;;#spektakle #teatralne
2436;57960;Pogo;Spektakle teatralne;http://media.krakow.travel/photos/72221/m.jpg;obrazy_wydarzen_karnet/57960.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-06-14;;17:00;;#spektakle #teatralne
3132;56612;Bal (Teatr KTO);Spektakle teatralne;http://media.krakow.travel/photos/69993/m.jpg;obrazy_wydarzen_karnet/56612.jpg;Teatr KTO;ul. Zamoyskiego 50;Kraków;2025-06-14;;21:30;;#spektakle #teatralne
3131;58923;donGURALesko, Pih, W.E.N.A. w Żaczku;Muzyka rozrywkowa;http://media.krakow.travel/photos/72363/m.jpg;obrazy_wydarzen_karnet/58923.jpg;Żaczek;al. 3 Maja 5;Kraków;2025-06-14;;20:00;;#muzyka #rozrywkowa
1773;55961;Gdzie gubią się zdania;Spektakle teatralne;http://media.krakow.travel/photos/69749/m.jpg;obrazy_wydarzen_karnet/55961.jpg;Teatr Groteska;ul. Skarbowa 2;Kraków;2025-06-14;;16:00;;#spektakle #teatralne
3138;53408;Urban. Idę po was...;Spektakle teatralne;http://media.krakow.travel/photos/66323/m.jpg;obrazy_wydarzen_karnet/53408.jpg;Teatr Łaźnia Nowa;os. Szkolne 25;Kraków;2025-06-15;;18:00;;#spektakle #teatralne
2114;55143;Wszystko, co najlepsze;Spektakle teatralne;http://media.krakow.travel/photos/69502/m.jpg;obrazy_wydarzen_karnet/55143.jpg;Teatr Bagatela – Scena na Sarego 7;ul. Sarego 7;Kraków;2025-06-15;;17:00;;#spektakle #teatralne
3139;58383;DZ Deathrays w Gwarku;Muzyka rozrywkowa;http://media.krakow.travel/photos/71795/m.jpg;obrazy_wydarzen_karnet/58383.jpg;Gwarek;ul. Reymonta 17;Kraków;2025-06-15;;19:30;;#muzyka #rozrywkowa
645;55143;Wszystko, co najlepsze;Spektakle teatralne;http://media.krakow.travel/photos/69502/m.jpg;obrazy_wydarzen_karnet/55143.jpg;Teatr Bagatela – Scena na Sarego 7;ul. Sarego 7;Kraków;2025-06-15;;17:00;;#spektakle #teatralne
3137;34131;Napis;Spektakle teatralne;http://media.krakow.travel/photos/43921/m.jpg;obrazy_wydarzen_karnet/34131.jpg;Teatr Praska 52;ul. Praska 52;Kraków;2025-06-15;;18:00;;#spektakle #teatralne
3541;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
3136;55143;Wszystko, co najlepsze;Spektakle teatralne;http://media.krakow.travel/photos/69502/m.jpg;obrazy_wydarzen_karnet/55143.jpg;Teatr Bagatela – Scena na Sarego 7;ul. Sarego 7;Kraków;2025-06-15;;17:00;;#spektakle #teatralne
5580;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
3135;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
5115;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
3967;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
4544;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
1528;55143;Wszystko, co najlepsze;Spektakle teatralne;http://media.krakow.travel/photos/69502/m.jpg;obrazy_wydarzen_karnet/55143.jpg;Teatr Bagatela – Scena na Sarego 7;ul. Sarego 7;Kraków;2025-06-15;;17:00;;#spektakle #teatralne
1423;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
3134;55961;Gdzie gubią się zdania;Spektakle teatralne;http://media.krakow.travel/photos/69749/m.jpg;obrazy_wydarzen_karnet/55961.jpg;Teatr Groteska;ul. Skarbowa 2;Kraków;2025-06-15;;11:00;;#spektakle #teatralne
3133;59368;XII Rajd Rowerowy po gminie Zielonki;W gminach Metropolii;http://media.krakow.travel/photos/72819/m.jpg;obrazy_wydarzen_karnet/59368.jpg;Park Wiejski;Galicyjska 28;32-087 Zielonki;2025-06-15;;08:00;;#WGminach #Metropolii
2611;55143;Wszystko, co najlepsze;Spektakle teatralne;http://media.krakow.travel/photos/69502/m.jpg;obrazy_wydarzen_karnet/55143.jpg;Teatr Bagatela – Scena na Sarego 7;ul. Sarego 7;Kraków;2025-06-15;;17:00;;#spektakle #teatralne
2605;34131;Napis;Spektakle teatralne;http://media.krakow.travel/photos/43921/m.jpg;obrazy_wydarzen_karnet/34131.jpg;Teatr Praska 52;ul. Praska 52;Kraków;2025-06-15;;18:00;;#spektakle #teatralne
4252;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
2645;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
1832;58512;Art & Food Bazar 2025;Targi i kiermasze;http://media.krakow.travel/photos/71913/m.jpg;obrazy_wydarzen_karnet/58512.jpg;Stary Kleparz;Rynek Kleparski;Kraków;2025-06-15;;11:00;;#targi #kiermasze
1182;58227;Lista męskich życzeń;Spektakle teatralne;http://media.krakow.travel/photos/71642/m.jpg;obrazy_wydarzen_karnet/58227.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-16;;17:30;;#spektakle #teatralne
3141;58988;Dirty Honey: Mayhem & Revelry w Klubie Spotkań Poczta Główna;Muzyka rozrywkowa;http://media.krakow.travel/photos/72429/m.jpg;obrazy_wydarzen_karnet/58988.jpg;Klub Spotkań Poczta Główna;ul. Westerplatte 20;Kraków;2025-06-16;;18:00;;#muzyka #rozrywkowa
3140;58227;Lista męskich życzeń;Spektakle teatralne;http://media.krakow.travel/photos/71642/m.jpg;obrazy_wydarzen_karnet/58227.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-16;;17:30;;#spektakle #teatralne
3145;18359;Inne rozkosze;Spektakle teatralne;http://media.krakow.travel/photos/24185/m.jpg;obrazy_wydarzen_karnet/18359.jpg;Krakowski Teatr Scena STU;al. Krasińskiego 16;Kraków;2025-06-17;;19:00;;#spektakle #teatralne
3146;43474;O dwóch doktorach i jednej pacjentce;Spektakle teatralne;http://media.krakow.travel/photos/55115/m.jpg;obrazy_wydarzen_karnet/43474.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-17;;19:00;;#spektakle #teatralne
3144;58692;070 Shake: Petrichor w Studio;Muzyka rozrywkowa;http://media.krakow.travel/photos/72090/m.jpg;obrazy_wydarzen_karnet/58692.jpg;Klub Studio;ul. Budryka 4;Kraków;2025-06-17;;18:00;;#muzyka #rozrywkowa
2395;18359;Inne rozkosze;Spektakle teatralne;http://media.krakow.travel/photos/24185/m.jpg;obrazy_wydarzen_karnet/18359.jpg;Krakowski Teatr Scena STU;al. Krasińskiego 16;Kraków;2025-06-17;;19:00;;#spektakle #teatralne
3143;59476;Legalna blondynka JR;Spektakle teatralne;http://media.krakow.travel/photos/73108/m.jpg;obrazy_wydarzen_karnet/59476.jpg;Nowohuckie Centrum Kultury;al. Jana Pawła II 232;Kraków;2025-06-17;;09:00;;#spektakle #teatralne
3142;33841;Brzydkie kaczątko;Spektakle teatralne;http://media.krakow.travel/photos/41487/m.jpg;obrazy_wydarzen_karnet/33841.jpg;Teatr Groteska;ul. Skarbowa 2;Kraków;2025-06-17;;09:00;;#spektakle #teatralne
872;43474;O dwóch doktorach i jednej pacjentce;Spektakle teatralne;http://media.krakow.travel/photos/55115/m.jpg;obrazy_wydarzen_karnet/43474.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-17;;19:00;;#spektakle #teatralne
1781;43474;O dwóch doktorach i jednej pacjentce;Spektakle teatralne;http://media.krakow.travel/photos/55115/m.jpg;obrazy_wydarzen_karnet/43474.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-17;;19:00;;#spektakle #teatralne
3147;35044;Śmierć pięknych saren;Spektakle teatralne;http://media.krakow.travel/photos/54761/m.jpg;obrazy_wydarzen_karnet/35044.jpg;Teatr Bagatela – Scena na Sarego 7;ul. Sarego 7;Kraków;2025-06-17;;19:15;;#spektakle #teatralne
1793;35044;Śmierć pięknych saren;Spektakle teatralne;http://media.krakow.travel/photos/54761/m.jpg;obrazy_wydarzen_karnet/35044.jpg;Teatr Bagatela – Scena na Sarego 7;ul. Sarego 7;Kraków;2025-06-17;;19:15;;#spektakle #teatralne
1380;43474;O dwóch doktorach i jednej pacjentce;Spektakle teatralne;http://media.krakow.travel/photos/55115/m.jpg;obrazy_wydarzen_karnet/43474.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-06-17;;19:00;;#spektakle #teatralne
3148;59767;Mannowski Klub Książkowy: Pajac;Inne wydarzenia literackie;http://media.krakow.travel/photos/73274/m.jpg;obrazy_wydarzen_karnet/59767.jpg;De Revolutionibus Books;Rynek Podgórski 8;Kraków;2025-06-18;;18:00;;#inne #wydarzenia #literackie
3150;56978;Scorpions w Tauron Arenie Kraków;Muzyka rozrywkowa;http://media.krakow.travel/photos/70386/m.jpg;obrazy_wydarzen_karnet/56978.jpg;TAURON Arena Kraków;ul. Lema 7;Kraków;2025-06-18;;20:00;;#muzyka #rozrywkowa
3149;59319;Pokój;Spektakle teatralne;http://media.krakow.travel/photos/55829/m.jpg;obrazy_wydarzen_karnet/59319.jpg;Małopolski Ogród Sztuki;ul. Rajska 12;Kraków;2025-06-18;;19:00;;#spektakle #teatralne
3152;21922;Wesele (Stary Teatr);Spektakle teatralne;http://media.krakow.travel/photos/27819/m.jpg;obrazy_wydarzen_karnet/21922.jpg;Narodowy Stary Teatr im. Heleny Modrzejewskiej;ul. Jagiellońska 1;Kraków;2025-06-19;;18:00;;#spektakle #teatralne
3151;59386;Jarmark Świętojański 2025;Targi i kiermasze;http://media.krakow.travel/photos/72837/m.jpg;obrazy_wydarzen_karnet/59386.jpg;Bulwary Wiślane;;Kraków;2025-06-19;2025-06-29;;;#targi #kiermasze
3154;966;Wariacje Tischnerowskie. Kabaret filozoficzny;Spektakle teatralne;http://media.krakow.travel/photos/63554/m.jpg;obrazy_wydarzen_karnet/966.jpg;Krakowski Teatr Scena STU;al. Krasińskiego 16;Kraków;2025-06-19;;19:00;;#spektakle #teatralne
3153;59828;Obiady Czwartkowe w Pałacu Nieśmiertelności;Spotkania i slajdowiska;http://media.krakow.travel/photos/73337/m.jpg;obrazy_wydarzen_karnet/59828.jpg;Pałac Nieśmiertelności;Krakowska 13;Kraków;2025-06-19;;18:00;;#spotkania #slajdowiska
3156;59801;Ignite, Distrüster w Gwarku;Muzyka rozrywkowa;http://media.krakow.travel/photos/73309/m.jpg;obrazy_wydarzen_karnet/59801.jpg;Gwarek;ul. Reymonta 17;Kraków;2025-06-19;;19:30;;#muzyka #rozrywkowa
2713;51177;Premiera, która poszła nie tak;Spektakle teatralne;http://media.krakow.travel/photos/63880/m.jpg;obrazy_wydarzen_karnet/51177.jpg;Krakowski Teatr Variété;ul. Grzegórzecka 71;Kraków;2025-06-19;;19:00;;#spektakle #teatralne
3155;51177;Premiera, która poszła nie tak;Spektakle teatralne;http://media.krakow.travel/photos/63880/m.jpg;obrazy_wydarzen_karnet/51177.jpg;Krakowski Teatr Variété;ul. Grzegórzecka 71;Kraków;2025-06-19;;19:00;;#spektakle #teatralne
3157;57177;Cat Power Sings Dylan w Studio;Muzyka rozrywkowa;http://media.krakow.travel/photos/70613/m.jpg;obrazy_wydarzen_karnet/57177.jpg;Klub Studio;ul. Budryka 4;Kraków;2025-06-19;;20:00;;#muzyka #rozrywkowa
2011;966;Wariacje Tischnerowskie. Kabaret filozoficzny;Spektakle teatralne;http://media.krakow.travel/photos/63554/m.jpg;obrazy_wydarzen_karnet/966.jpg;Krakowski Teatr Scena STU;al. Krasińskiego 16;Kraków;2025-06-19;;19:00;;#spektakle #teatralne
3158;59730;FestivALT 2025;Festiwale;http://media.krakow.travel/photos/73217/m.jpg;obrazy_wydarzen_karnet/59730.jpg;;;Kraków;2025-06-20;2025-06-29;;;#festiwale
