id_strony,tytul,typ_wydarzenia_lista,link_do_obrazka_lista,sciezka_do_pobranego_obrazka,obiekty,ulice,miasta,data_rozpoczecia,data_zakonczenia,godzina_rozpoczecia,czy_stale,hashtagi,likes,info_clicks,shares,watch_time,saves,score
1095,38195,Dziesięć polskich miast – Dziesięć żydowskich historii,Wystawy stałe,http://media.krakow.travel/photos/47810/m.jpg,obrazy_wydarzen_karnet/38195.jpg,Żydowskie Muzeum Galicja,ul. Dajwór 18,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,43,18,14,9,2,69.8
1096,38686,Polskie Państwo Podziemne i jego siły zbrojne,Wystawy stałe,http://media.krakow.travel/photos/48488/m.jpg,obrazy_wydarzen_karnet/38686.jpg,Muzeum Armii Krajowej,ul. Wita Stwosza 12,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,53,18,19,96,8,118.80000000000001
1097,38701,Krakowska Konspiracja,Wystawy stałe,http://media.krakow.travel/photos/48519/m.jpg,obrazy_wydarzen_karnet/38701.jpg,Muzeum Armii Krajowej,ul. Wita Stwosza 12,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,49,17,10,61,5,94.0
1098,39145,Źródła. Galeria Sztuki Starożytnej,Wystawy stałe,http://media.krakow.travel/photos/49254/m.jpg,obrazy_wydarzen_karnet/39145.jpg,Arsenał Muzeum Książąt Czartoryskich,ul. Pijarska 8,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,57,20,9,119,5,127.0
1099,41059,XX + XXI. Galeria Sztuki Polskiej,Wystawy stałe,http://media.krakow.travel/photos/52107/m.jpg,obrazy_wydarzen_karnet/41059.jpg,Gmach Główny,al. 3 Maja 1,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,70,16,11,44,5,108.0
1100,41714,Galeria Historycznych Militariów,Wystawy stałe,http://media.krakow.travel/photos/52895/m.jpg,obrazy_wydarzen_karnet/41714.jpg,Galeria Historycznych Militariów,ul. Gołębia 5,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,53,15,10,19,7,80.0
1101,41799,Przedmioty. Galeria designu polskiego XX i XXI wieku,Wystawy stałe,http://media.krakow.travel/photos/53288/m.jpg,obrazy_wydarzen_karnet/41799.jpg,Kamienica Szołayskich im. Feliksa Jasieńskiego,pl. Szczepański 9,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,60,24,9,10,5,89.60000000000001
1102,41800,Przekroje. Galeria architektury polskiej XX i XXI wieku,Wystawy stałe,http://media.krakow.travel/photos/53278/m.jpg,obrazy_wydarzen_karnet/41800.jpg,Kamienica Szołayskich im. Feliksa Jasieńskiego,pl. Szczepański 9,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,42,23,16,88,3,105.8
1103,41781,"Kraków od początku, bez końca",Wystawy stałe,http://media.krakow.travel/photos/53007/m.jpg,obrazy_wydarzen_karnet/41781.jpg,Pałac Krzysztofory,Rynek Główny 35,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,51,25,8,17,8,84.19999999999999
1104,42064,Duchowość i kultura Cystersów,Wystawy stałe,http://media.krakow.travel/photos/53400/m.jpg,obrazy_wydarzen_karnet/42064.jpg,Muzeum Cystersów w Mogile,ul. Klasztorna 11,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,38,15,13,205,5,140.8
1106,41681,Co robi zdjęcie?,Wystawy stałe,http://media.krakow.travel/photos/52847/m.jpg,obrazy_wydarzen_karnet/41681.jpg,MuFo Rakowicka,ul. Rakowicka 22a,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,43,14,5,151,4,118.4
1107,46940,Stała wystawa Muzeum Dominikanów,Wystawy stałe,http://media.krakow.travel/photos/59267/m.jpg,obrazy_wydarzen_karnet/46940.jpg,Muzeum Dominikanów,ul. Stolarska 12,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,57,20,10,47,11,100.0
1108,35184,Jerzy Duda-Gracz – Galeria Autorska. Kolekcja Agaty Dudy-Gracz,Wystawy stałe,http://media.krakow.travel/photos/58880/m.jpg,obrazy_wydarzen_karnet/35184.jpg,Nowohuckie Centrum Kultury,al. Jana Pawła II 232,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,54,23,17,36,2,97.40000000000002
1109,47074,Muzeum Stanisława Wyspiańskiego. 2. odsłona,Wystawy stałe,http://media.krakow.travel/photos/52843/m.jpg,obrazy_wydarzen_karnet/47074.jpg,Muzeum Stanisława Wyspiańskiego,pl. Sikorskiego 6,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,49,23,12,24,2,84.60000000000002
1110,47857,Miasto. Technoczułość,Wystawy stałe,http://media.krakow.travel/photos/60218/m.jpg,obrazy_wydarzen_karnet/47857.jpg,Muzeum Inżynierii i Techniki,ul. św. Wawrzyńca 15,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,49,17,7,27,7,79.0
1111,36636,Ogrody Królewskie,Wystawy stałe,http://media.krakow.travel/photos/21052/m.jpg,obrazy_wydarzen_karnet/36636.jpg,Zamek Królewski na Wawelu,Wawel 5,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,50,25,10,181,2,148.8
1113,49044,Klasztorek. Muzeum Książąt Czartoryskich,Wystawy stałe,http://media.krakow.travel/photos/61550/m.jpg,obrazy_wydarzen_karnet/49044.jpg,Muzeum Książąt Czartoryskich,ul. Pijarska 15,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,46,17,8,31,5,77.80000000000001
1114,49289,Fort Jugowice. Dziedzictwo miejsca,Wystawy stałe,http://media.krakow.travel/photos/62939/m.jpg,obrazy_wydarzen_karnet/49289.jpg,Muzeum i Centrum Ruchu Harcerskiego,ul. Forteczna 28,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,55,24,10,64,4,106.60000000000001
1115,50894,Historia a Oskar Schindler,Wystawy stałe,http://media.krakow.travel/photos/63594/m.jpg,obrazy_wydarzen_karnet/50894.jpg,MOCAK Muzeum Sztuki Współczesnej,ul. Lipowa 4,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,39,18,7,68,4,85.60000000000001
1116,50900,Broń i Barwa,Wystawy stałe,http://media.krakow.travel/photos/63604/m.jpg,obrazy_wydarzen_karnet/50900.jpg,Arsenał Muzeum Książąt Czartoryskich,ul. Pijarska 8,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,41,20,8,92,5,99.6
1117,52030,Wawel Podziemny. Lapidarium,Wystawy stałe,http://media.krakow.travel/photos/64850/m.jpg,obrazy_wydarzen_karnet/52030.jpg,Zamek Królewski na Wawelu,Wawel 5,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,49,16,8,61,4,91.8
1118,52656,Gabinet Porcelanowy,Wystawy stałe,http://media.krakow.travel/photos/65540/m.jpg,obrazy_wydarzen_karnet/52656.jpg,Prywatne Apartamenty Królewskie,Wawel 5,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,53,15,16,44,5,93.19999999999999
1119,53505,Solniczki – małe arcydzieła sztuki,W gminach Metropolii,http://media.krakow.travel/photos/67039/m.jpg,obrazy_wydarzen_karnet/53505.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,47,28,6,22,2,82.2
1120,53755,Muzeum Ślusarstwa im. Marcina Mikuły,W gminach Metropolii,http://media.krakow.travel/photos/66688/m.jpg,obrazy_wydarzen_karnet/53755.jpg,Muzeum Ślusarstwa  im. Marcina Mikuły,ul. Bruchnalskiego 35,Świątniki Górne,,,,Wydarzenie stałe,#WGminach #Metropolii,53,26,10,67,3,107.19999999999999
1121,53868,Sukiennice w Niepołomicach 2. Znane i nieznane,W gminach Metropolii,http://media.krakow.travel/photos/66833/m.jpg,obrazy_wydarzen_karnet/53868.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,54,22,15,57,4,104.19999999999999
1122,53915,Ostatnia Kolejka Czernichów Główny,W gminach Metropolii,http://media.krakow.travel/photos/66901/m.jpg,obrazy_wydarzen_karnet/53915.jpg,Stacja Muzeum Czernichów Główny,ul. Wiślana 3,Czernichów,,,,Wydarzenie stałe,#WGminach #Metropolii,54,24,9,31,3,91.60000000000001
1123,53870,Muzeum Fonografii w Niepołomicach – wystawa stała,W gminach Metropolii,http://media.krakow.travel/photos/67020/m.jpg,obrazy_wydarzen_karnet/53870.jpg,Muzeum Fonografii w Niepołomicach,ul. Zamkowa 4,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,44,15,11,63,5,88.80000000000001
1124,38200,Projekt Kody Miasta,Akcje czytelnicze,http://media.krakow.travel/photos/47814/m.jpg,obrazy_wydarzen_karnet/38200.jpg,Planty,,Kraków,,,,Wydarzenie stałe,#akcje #czytelnicze,45,24,6,41,7,85.60000000000001
1719,55903,Wielcy współcześni. Dar Teresy i Andrzeja Starmachów,Wystawy stałe,http://media.krakow.travel/photos/69205/m.jpg,obrazy_wydarzen_karnet/55903.jpg,MOCAK Muzeum Sztuki Współczesnej,ul. Lipowa 4,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,54,19,5,57,3,95.6
1947,59251,Miasteczko wawelskie. Nowa stała wystawa w Zamku Królewskim na Wawelu,Wystawy stałe,http://media.krakow.travel/photos/72707/m.jpg,obrazy_wydarzen_karnet/59251.jpg,,,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,46,18,9,76,7,97.60000000000001
2219,55903,Wielcy współcześni. Dar Teresy i Andrzeja Starmachów,Wystawy stałe,http://media.krakow.travel/photos/69205/m.jpg,obrazy_wydarzen_karnet/55903.jpg,MOCAK Muzeum Sztuki Współczesnej,ul. Lipowa 4,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,59,20,8,51,5,101.2
2225,56918,KEF to zabawa!,Wystawy stałe,http://media.krakow.travel/photos/70316/m.jpg,obrazy_wydarzen_karnet/56918.jpg,Żydowskie Muzeum Galicja,ul. Dajwór 18,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,56,13,11,82,3,106.4
2228,57547,Wystawa archeologiczna w Muzeum Żup Krakowskich Wieliczka,W gminach Metropolii,http://media.krakow.travel/photos/70975/m.jpg,obrazy_wydarzen_karnet/57547.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,45,20,9,50,5,87.4
2229,57548,Sala gotycka,W gminach Metropolii,http://media.krakow.travel/photos/70976/m.jpg,obrazy_wydarzen_karnet/57548.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,54,16,6,92,4,107.99999999999999
2230,57549,Kasa pancerna i inne skarby,W gminach Metropolii,http://media.krakow.travel/photos/70977/m.jpg,obrazy_wydarzen_karnet/57549.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,40,20,9,35,3,76.0
2231,57551,Trasa Turystyczna Kopalni Soli „Wieliczka”,W gminach Metropolii,http://media.krakow.travel/photos/70979/m.jpg,obrazy_wydarzen_karnet/57551.jpg,Kopalnia Soli „Wieliczka”,ul. Daniłowicza 10,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,49,28,13,18,4,87.2
2232,57552,Ekspozycja podziemna Żup Krakowskich Wieliczka,W gminach Metropolii,http://media.krakow.travel/photos/70980/m.jpg,obrazy_wydarzen_karnet/57552.jpg,Muzeum Żup Krakowskich w Wieliczce – Ekspozycja podziemna,ul. Daniłowicza 10,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,51,19,11,55,3,95.39999999999999
2233,57546,Izba Pamięci Rodu Hallerów,W gminach Metropolii,http://media.krakow.travel/photos/70974/m.jpg,obrazy_wydarzen_karnet/57546.jpg,,,Kraków,,,,Wydarzenie stałe,#WGminach #Metropolii,48,24,11,137,8,130.2
2234,57566,Skarby Niepołomickiej Parafii,W gminach Metropolii,http://media.krakow.travel/photos/70997/m.jpg,obrazy_wydarzen_karnet/57566.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,45,14,11,86,4,98.0
2235,57567,Gabinet Włodzimierza Puchalskiego,W gminach Metropolii,http://media.krakow.travel/photos/70998/m.jpg,obrazy_wydarzen_karnet/57567.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,55,21,11,136,2,133.20000000000002
2236,57568,"Niepołomice. Miasto, czas i ludzie",W gminach Metropolii,http://media.krakow.travel/photos/71000/m.jpg,obrazy_wydarzen_karnet/57568.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,58,23,9,31,4,95.00000000000001
2237,57650,Sale Łowieckie,W gminach Metropolii,http://media.krakow.travel/photos/71064/m.jpg,obrazy_wydarzen_karnet/57650.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,59,14,9,44,6,94.40000000000002
2238,57657,Wystawa regionalna w Skawinie,W gminach Metropolii,http://media.krakow.travel/photos/71071/m.jpg,obrazy_wydarzen_karnet/57657.jpg,Muzeum Regionalne w Skawinie,Mickiewicza 26,Skawina,,,,Wydarzenie stałe,#WGminach #Metropolii,54,16,9,19,1,80.0
2239,57659,Wystawa biograficzna w Muzeum św. Brata Alberta Chmielowskiego,W gminach Metropolii,http://media.krakow.travel/photos/71074/m.jpg,obrazy_wydarzen_karnet/57659.jpg,Muzeum św. Brata Alberta,Igołomia 32,Igołomia,,,,Wydarzenie stałe,#WGminach #Metropolii,39,21,13,14,5,70.19999999999999
2240,57662,Izba Regionalna w Krzęcinie,W gminach Metropolii,http://media.krakow.travel/photos/71075/m.jpg,obrazy_wydarzen_karnet/57662.jpg,Izba Regionalna w Krzęcinie,Krzęcin 47,Krzęcin,,,,Wydarzenie stałe,#WGminach #Metropolii,46,18,4,123,7,113.4
2241,57663,Izba Regionalna w Jaśkowicach,W gminach Metropolii,http://media.krakow.travel/photos/71076/m.jpg,obrazy_wydarzen_karnet/57663.jpg,Izba Regionalna w Jaśkowicach,Szkolna 4,Radziszów,,,,Wydarzenie stałe,#WGminach #Metropolii,46,22,14,115,3,118.6
2242,57666,Izba Regionalna w Woli Radziszowskiej,W gminach Metropolii,http://media.krakow.travel/photos/71078/m.jpg,obrazy_wydarzen_karnet/57666.jpg,Izba Regionalna w Woli Radziszowskiej,Wola Radziszowska 590,Wola Radziszowska,,,,Wydarzenie stałe,#WGminach #Metropolii,55,22,7,71,2,105.60000000000001
2315,21488,Świat gadów,Wystawy stałe,http://media.krakow.travel/photos/26879/m.jpg,obrazy_wydarzen_karnet/21488.jpg,Muzeum Przyrodnicze,ul. św. Sebastiana 9,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,61,20,9,31,5,95.80000000000001
2316,1007,Sztuka dawnej Polski XII-XVIII wiek,Wystawy stałe,http://media.krakow.travel/photos/21429/m.jpg,obrazy_wydarzen_karnet/1007.jpg,Pałac Biskupa Erazma Ciołka,ul. Kanonicza 17,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,54,20,10,78,5,108.2
2317,1008,Śladami Pamięci,Wystawy stałe,http://media.krakow.travel/photos/61289/m.jpg,obrazy_wydarzen_karnet/1008.jpg,Żydowskie Muzeum Galicja,ul. Dajwór 18,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,60,24,14,108,9,132.60000000000002
2318,1013,Polska kultura ludowa,Wystawy stałe,http://media.krakow.travel/photos/2067/m.jpg,obrazy_wydarzen_karnet/1013.jpg,Muzeum Etnograficzne,pl. Wolnica 1,ul. Krakowska 46,,,,Wydarzenie stałe,#wystawy #stałe,38,19,9,147,2,117.80000000000001
2319,1023,Dzieje i kultura Żydów krakowskich,Wystawy stałe,http://media.krakow.travel/photos/21406/m.jpg,obrazy_wydarzen_karnet/1023.jpg,Stara Synagoga,ul. Szeroka 24,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,57,14,10,11,6,79.80000000000001
2320,1027,Sztuka cerkiewna dawnej Rzeczypospolitej,Wystawy stałe,http://media.krakow.travel/photos/21427/m.jpg,obrazy_wydarzen_karnet/1027.jpg,Pałac Biskupa Erazma Ciołka,ul. Kanonicza 17,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,59,26,10,35,5,100.8
2321,1034,Galeria Rzemiosła Artystycznego,Wystawy stałe,http://media.krakow.travel/photos/21418/m.jpg,obrazy_wydarzen_karnet/1034.jpg,Gmach Główny,al. 3 Maja 1,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,52,23,9,32,3,89.2
2322,1038,Reprezentacyjne Komnaty Królewskie,Wystawy stałe,http://media.krakow.travel/photos/56246/m.jpg,obrazy_wydarzen_karnet/1038.jpg,Zamek Królewski na Wawelu,Wawel 5,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,39,17,10,40,4,75.39999999999999
2323,1039,Prywatne Apartamenty Królewskie,Wystawy stałe,http://media.krakow.travel/photos/21017/m.jpg,obrazy_wydarzen_karnet/1039.jpg,Zamek Królewski na Wawelu,Wawel 5,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,54,14,12,68,5,100.60000000000001
2324,1040,Skarbiec Koronny i Zbrojownia,Wystawy stałe,http://media.krakow.travel/photos/56245/m.jpg,obrazy_wydarzen_karnet/1040.jpg,Zamek Królewski na Wawelu,Wawel 5,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,60,25,12,5,5,90.2
2325,1042,Wawel Zaginiony,Wystawy stałe,http://media.krakow.travel/photos/21019/m.jpg,obrazy_wydarzen_karnet/1042.jpg,Zamek Królewski na Wawelu,Wawel 5,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,50,21,9,30,7,85.60000000000001
2326,1066,Kraków – czas okupacji 1939-1945,Wystawy stałe,http://media.krakow.travel/photos/2120/m.jpg,obrazy_wydarzen_karnet/1066.jpg,Fabryka Emalia Oskara Schindlera,ul. Lipowa 4,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,46,11,12,33,2,75.60000000000001
2327,1072,Galeria Sztuki Polskiej XIX wieku w Sukiennicach,Wystawy stałe,http://media.krakow.travel/photos/21065/m.jpg,obrazy_wydarzen_karnet/1072.jpg,Galeria Sztuki Polskiej XIX wieku w Sukiennicach,Rynek Główny 3,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,56,26,8,50,6,102.8
2328,1073,Śladem europejskiej tożsamości Krakowa,Wystawy stałe,http://media.krakow.travel/photos/2127/m.jpg,obrazy_wydarzen_karnet/1073.jpg,Rynek Podziemny,Rynek Główny 1/3,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,60,12,12,55,7,100.2
2329,1135,Krakowianie wobec terroru 1939-1945-1956,Wystawy stałe,http://media.krakow.travel/photos/20992/m.jpg,obrazy_wydarzen_karnet/1135.jpg,Ulica Pomorska,ul. Pomorska 2,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,52,18,11,39,8,90.19999999999999
2330,3115,Wystawa biograficzna Jana Matejki,Wystawy stałe,http://media.krakow.travel/photos/21066/m.jpg,obrazy_wydarzen_karnet/3115.jpg,Dom Jana Matejki,ul. Floriańska 41,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,52,25,10,168,2,145.6
2877,55903,Wielcy współcześni. Dar Teresy i Andrzeja Starmachów,Wystawy stałe,http://media.krakow.travel/photos/69205/m.jpg,obrazy_wydarzen_karnet/55903.jpg,MOCAK Muzeum Sztuki Współczesnej,ul. Lipowa 4,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,44,28,14,42,9,93.4
2882,56918,KEF to zabawa!,Wystawy stałe,http://media.krakow.travel/photos/70316/m.jpg,obrazy_wydarzen_karnet/56918.jpg,Żydowskie Muzeum Galicja,ul. Dajwór 18,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,39,23,11,67,1,91.0
2885,57547,Wystawa archeologiczna w Muzeum Żup Krakowskich Wieliczka,W gminach Metropolii,http://media.krakow.travel/photos/70975/m.jpg,obrazy_wydarzen_karnet/57547.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,50,19,13,76,9,105.2
2886,57548,Sala gotycka,W gminach Metropolii,http://media.krakow.travel/photos/70976/m.jpg,obrazy_wydarzen_karnet/57548.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,66,27,10,21,3,102.6
2887,57549,Kasa pancerna i inne skarby,W gminach Metropolii,http://media.krakow.travel/photos/70977/m.jpg,obrazy_wydarzen_karnet/57549.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,55,17,8,22,3,82.79999999999998
2888,57551,Trasa Turystyczna Kopalni Soli „Wieliczka”,W gminach Metropolii,http://media.krakow.travel/photos/70979/m.jpg,obrazy_wydarzen_karnet/57551.jpg,Kopalnia Soli „Wieliczka”,ul. Daniłowicza 10,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,53,17,10,77,5,104.39999999999999
2889,57552,Ekspozycja podziemna Żup Krakowskich Wieliczka,W gminach Metropolii,http://media.krakow.travel/photos/70980/m.jpg,obrazy_wydarzen_karnet/57552.jpg,Muzeum Żup Krakowskich w Wieliczce – Ekspozycja podziemna,ul. Daniłowicza 10,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,45,21,9,116,6,114.80000000000001
2890,57546,Izba Pamięci Rodu Hallerów,W gminach Metropolii,http://media.krakow.travel/photos/70974/m.jpg,obrazy_wydarzen_karnet/57546.jpg,,,Kraków,,,,Wydarzenie stałe,#WGminach #Metropolii,49,11,10,147,8,124.19999999999999
2891,57566,Skarby Niepołomickiej Parafii,W gminach Metropolii,http://media.krakow.travel/photos/70997/m.jpg,obrazy_wydarzen_karnet/57566.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,41,23,12,22,6,76.60000000000001
2892,57567,Gabinet Włodzimierza Puchalskiego,W gminach Metropolii,http://media.krakow.travel/photos/70998/m.jpg,obrazy_wydarzen_karnet/57567.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,50,19,10,95,5,110.2
2893,57568,"Niepołomice. Miasto, czas i ludzie",W gminach Metropolii,http://media.krakow.travel/photos/71000/m.jpg,obrazy_wydarzen_karnet/57568.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,52,18,12,47,6,93.60000000000001
2894,57650,Sale Łowieckie,W gminach Metropolii,http://media.krakow.travel/photos/71064/m.jpg,obrazy_wydarzen_karnet/57650.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,43,11,10,115,4,104.6
2895,57657,Wystawa regionalna w Skawinie,W gminach Metropolii,http://media.krakow.travel/photos/71071/m.jpg,obrazy_wydarzen_karnet/57657.jpg,Muzeum Regionalne w Skawinie,Mickiewicza 26,Skawina,,,,Wydarzenie stałe,#WGminach #Metropolii,44,26,9,62,3,95.6
2896,57659,Wystawa biograficzna w Muzeum św. Brata Alberta Chmielowskiego,W gminach Metropolii,http://media.krakow.travel/photos/71074/m.jpg,obrazy_wydarzen_karnet/57659.jpg,Muzeum św. Brata Alberta,Igołomia 32,Igołomia,,,,Wydarzenie stałe,#WGminach #Metropolii,40,15,14,72,5,90.2
2897,57662,Izba Regionalna w Krzęcinie,W gminach Metropolii,http://media.krakow.travel/photos/71075/m.jpg,obrazy_wydarzen_karnet/57662.jpg,Izba Regionalna w Krzęcinie,Krzęcin 47,Krzęcin,,,,Wydarzenie stałe,#WGminach #Metropolii,57,23,13,129,6,136.0
2898,57663,Izba Regionalna w Jaśkowicach,W gminach Metropolii,http://media.krakow.travel/photos/71076/m.jpg,obrazy_wydarzen_karnet/57663.jpg,Izba Regionalna w Jaśkowicach,Szkolna 4,Radziszów,,,,Wydarzenie stałe,#WGminach #Metropolii,50,23,6,138,6,128.4
2899,57666,Izba Regionalna w Woli Radziszowskiej,W gminach Metropolii,http://media.krakow.travel/photos/71078/m.jpg,obrazy_wydarzen_karnet/57666.jpg,Izba Regionalna w Woli Radziszowskiej,Wola Radziszowska 590,Wola Radziszowska,,,,Wydarzenie stałe,#WGminach #Metropolii,63,23,15,53,7,113.00000000000001
3245,55903,Wielcy współcześni. Dar Teresy i Andrzeja Starmachów,Wystawy stałe,http://media.krakow.travel/photos/69205/m.jpg,obrazy_wydarzen_karnet/55903.jpg,MOCAK Muzeum Sztuki Współczesnej,ul. Lipowa 4,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,38,25,9,9,4,67.8
3247,56918,KEF to zabawa!,Wystawy stałe,http://media.krakow.travel/photos/70316/m.jpg,obrazy_wydarzen_karnet/56918.jpg,Żydowskie Muzeum Galicja,ul. Dajwór 18,Kraków,,,,Wydarzenie stałe,#wystawy #stałe,40,14,5,26,5,65.60000000000001
3249,57547,Wystawa archeologiczna w Muzeum Żup Krakowskich Wieliczka,W gminach Metropolii,http://media.krakow.travel/photos/70975/m.jpg,obrazy_wydarzen_karnet/57547.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,50,28,11,184,8,154.20000000000002
3250,57548,Sala gotycka,W gminach Metropolii,http://media.krakow.travel/photos/70976/m.jpg,obrazy_wydarzen_karnet/57548.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,50,25,7,75,2,104.60000000000001
3251,57549,Kasa pancerna i inne skarby,W gminach Metropolii,http://media.krakow.travel/photos/70977/m.jpg,obrazy_wydarzen_karnet/57549.jpg,Muzeum Żup Krakowskich Wieliczka,ul. Zamkowa 8,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,45,15,11,22,10,74.4
3252,57551,Trasa Turystyczna Kopalni Soli „Wieliczka”,W gminach Metropolii,http://media.krakow.travel/photos/70979/m.jpg,obrazy_wydarzen_karnet/57551.jpg,Kopalnia Soli „Wieliczka”,ul. Daniłowicza 10,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,48,18,8,29,6,80.00000000000001
3253,57552,Ekspozycja podziemna Żup Krakowskich Wieliczka,W gminach Metropolii,http://media.krakow.travel/photos/70980/m.jpg,obrazy_wydarzen_karnet/57552.jpg,Muzeum Żup Krakowskich w Wieliczce – Ekspozycja podziemna,ul. Daniłowicza 10,Wieliczka,,,,Wydarzenie stałe,#WGminach #Metropolii,61,13,13,103,5,121.4
3254,57546,Izba Pamięci Rodu Hallerów,W gminach Metropolii,http://media.krakow.travel/photos/70974/m.jpg,obrazy_wydarzen_karnet/57546.jpg,,,Kraków,,,,Wydarzenie stałe,#WGminach #Metropolii,52,19,9,165,5,139.60000000000002
3255,57566,Skarby Niepołomickiej Parafii,W gminach Metropolii,http://media.krakow.travel/photos/70997/m.jpg,obrazy_wydarzen_karnet/57566.jpg,Zamek Królewski w Niepołomicach,ul. Zamkowa 2,Niepołomice,,,,Wydarzenie stałe,#WGminach #Metropolii,57,14,9,49,5,94.20000000000002
